#COUNTY,CITY
FULTON,BSV
BAXTER,BSV
RANDOLPH,BSV
MARION,BSV
SHARP,BSV
IZARD,BSV
LAWRENCE,BSV
STONE,BSV
SEARCY,BSV
INDEPENDENCE,BSV
JACKSON,BSV
FRANKLIN,FSM
JOHNSON,FSM
CRAWFORD,FSM
SEBASTIAN,FSM
LOGAN,FSM
SCOTT,FSM
MONTGOMERY,FSM
POLK,FSM
BENTON,FYV
CARROLL,FYV
BOONE,FYV
MADISON,FYV
WASHINGTON,FYV
NEWTON,FYV
VAN BUREN,LRK
POPE,LRK
CLEBURNE,LRK
WHITE,LRK
CONWAY,LRK
WOODRUFF,LRK
FAULKNER,LRK
YELL,LRK
PERRY,LRK
PRAIRIE,LRK
LONOKE,LRK
PULASKI,LRK
MONROE,LRK
SALINE,LRK
GARLAND,LRK
HOT SPRING,LRK
GRANT,LRK
DALLAS,LRK
CLAY,MPH
GREENE,MPH
MISSISSIPPI,MPH
CRAIGHEAD,MPH
POINSETT,MPH
CROSS,MPH
CRITTENDEN,MPH
ST. FRANCIS,MPH
LEE,MPH
PHILLIPS,MPH
ARKANSAS,PIN
JEFFERSON,PIN
LINCOLN,PIN
DESHA,PIN
CLEVELAND,PIN
CALHOUN,PIN
DREW,PIN
BRADLEY,PIN
CHICOT,PIN
ASHLEY,PIN
UNION,PIN
HOWARD,TEX
PIKE,TEX
CLARK,TEX
SEVIER,TEX
HEMPSTEAD,TEX
NEVADA,TEX
LITTLE RIVER,TEX
OUACHITA,TEX
MILLER,TEX
LAFAYETTE,TEX
COLUMBIA,TEX
